sample-id	Type	Phase	Soil	Status 	Species	Glade	Presence	A.ten	S.sco	Other Grasses	Other Legumes	Other Forbs	Woody	Bryophytes	Detritus	Gravel/Rock	Bare Ground	Avg	Avg Phosphate	Avg pH	Total N
S502-N702_Ab_SAV_3	Soil	One	HOME	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S502-N707_Ss_VES_3	Soil	One	HOME	Live	SS	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S502-N712_At_VES_2	Soil	One	HOME	Live	AT	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S502-N704_Blank_1	Blank	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S503-N706_Ss_LF_1	Soil	One	HOME	Live	SS	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S503-N711_At_SAV_3	Soil	One	HOME	Live	AT	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S505-N706_Ss_LF_2	Soil	One	HOME	Live	SS	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S505-N707_Ss_VES_2	Soil	One	HOME	Live	SS	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S505-N711_At_SAV_2	Soil	One	HOME	Live	AT	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S506-N701_Ab_LF_1	Soil	One	HOME	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S506-N706_Ss_LF_3	Soil	One	HOME	Live	SS	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S503-N702_Ab_CVL_1	Soil	One	HOME	Live	AB	CVL	HP														
S506-N707_Ss_VES_3	Soil	One	HOME	Live	SS	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S506-N711_At_SAV_1	Soil	One	HOME	Live	AT	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S507-N701_Ab_LF_2	Soil	One	HOME	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S507-N702_Ab_VES_1	Soil	One	HOME	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S503-N707_Blank_2	Blank	None	NA	Live	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S507-N707_Ss_SAV_1	Soil	One	HOME	Live	SS	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S507-N711_At_LF_1	Soil	One	HOME	Live	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S508-N701_Ab_LF_3	Soil	One	HOME	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S505-N702_Ab_CVL_2	Soil	One	HOME	Live	AB	CVL	HP														
S508-N702_Ab_VES_2	Soil	One	HOME	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S508-N703_Ab_HF_1	Soil	One	HOME	Live	AB	HF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S508-N707_Ss_SAV_2	Soil	One	HOME	Live	SS	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S508-N711_At_LF_2	Soil	One	HOME	Live	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S510-N701_Ab_SAV_1	Soil	One	HOME	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S510-N702_Ab_VES_3	Soil	One	HOME	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S510-N703_Ab_HF_2	Soil	One	HOME	Live	AB	HF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S510-N707_Ss_SAV_3	Soil	One	HOME	Live	SS	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S506-N702_Ab_CVL_3	Soil	One	HOME	Live	AB	CVL	HP														
S510-N711_At_LF_3	Soil	One	HOME	Live	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S511-N701_Ab_SAV_2	Soil	One	HOME	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S511-N703_Ab_HF_3	Soil	One	HOME	Live	AB	HF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S511-N706_Ss_VES_1	Soil	One	HOME	Live	SS	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S511-N711_At_VES_1	Soil	One	HOME	Live	AT	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S506-N710_Blank_3	Soil	One	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S513-N712_P136R	Root	Two	AB	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S513-N715_P141R	Root	Two	SS	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S513-N716_P167N	Nodule	Two	AT	Live	AT	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S513-N719_P226N	Nodule	Two	AB	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S513-N721_P239R	Root	Two	AT	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S513-N724_P618N	Nodule	Two	SS	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S513-N726_P556N	Nodule	Two	AB	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S513-N728_P183R	Root	Two	AB	Live	AB	HF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S515-N715_P146N	Nodule	Two	AT	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S515-N716_p167R	Root	Two	AT	Live	AT	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S507-N715_Blank_5	Blank	Two	NA	Live	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S507-N719_Blank_6	Blank	Two	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S515-N718_P186R	Root	Two	SS	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S515-N719_P226R	Root	Two	AB	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S515-N720_P232N	Nodule	Two	SS	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S515-N721_P258N	Nodule	Two	AT	Live	AT	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S515-N724_P618R	Root	Two	SS	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S515-N726_P556R	Root	Two	AB	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S515-N728_P189N	Nodule	Two	SS	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S515-N729_P627N	Nodule	Two	SS	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S516-N703_Ab_HF	Inoculum	None	HOME	Live	INO	HF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S508-N720_Blank_4	Blank	None	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S516-N715_P146R	Root	Two	AT	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S516-N716_P168N	Nodule	Two	AT	Live	AT	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S516-N718_P194N	Nodule	Two	AT	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S516-N719_P229N	Nodule	Two	AB	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S516-N720_P232R	Root	Two	SS	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S516-N721_P258R	Root	Two	AT	Live	AT	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S516-N724_P619N	Nodule	Two	AT	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S516-N728_P189R	Root	Two	SS	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S516-N729_P627R	Root	Two	SS	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S517-N703_Ab_VES	Inoculum	None	HOME	Live	INO	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S517-N715_P147N	Nodule	Two	AT	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S517-N716_P168R	Root	Two	AT	Live	AT	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S517-N718_P194R	Root	Two	AT	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S517-N719_P229R	Root	Two	AB	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S517-N720_P236N	Nodule	Two	AT	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S517-N721_P259N	Nodule	Two	AT	Live	AT	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S517-N722_P558N	Nodule	Two	AB	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S517-N724_P619R	Root	Two	AT	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S511-N715_PCR-Blank1	Blank	Two	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S511-N723_Blank_8	Blank	Two	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S511-N727_Blank_7	Blank	Two	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S511-N729_PCR-Blank2	Blank	Two	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S517-N728_P192N	Nodule	Two	AT	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S518-N715_P147R	Root	Two	AT	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S518-N716_P170N	Nodule	Two	AT	Live	AT	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S518-N718_P211N	Nodule	Two	AT	Live	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S518-N719_P234N	Nodule	Two	SS	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S518-N720_P236R	Root	Two	AT	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S518-N721_P259R	Root	Two	AT	Live	AT	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S518-N722_P558R	Root	Two	AB	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S518-N724_P623N	Nodule	Two	AT	Live	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S518-N728_P192r	Root	Two	AT	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S520-N714_P137N	Nodule	Two	AB	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S520-N715_P150N	Nodule	Two	AT	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S520-N716_P170R	Root	Two	AT	Live	AT	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S513-N720_Blank_13	Blank	Two	NA	Live	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
S520-N718_P211R	Root	Two	AT	Live	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S513-N722_P552R	Root	Two	AB	Live	AB	CVL	HP														
S520-N719_P234R	Root	Two	SS	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S520-N720_P237N	Nodule	Two	AT	Live	AB	VES	HA	0.4	24.5	3.2	11.5	19.5	3	12.2	11.5	12	5.8	26.3	0.035	7	1.303
S520-N722_P559N	Nodule	Two	AB	Live	AB	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S520-N724_P623R	Root	Two	AT	Live	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S520-N727_P183N	Nodule	Two	AB	Live	AB	HF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S520-N728_P492N	Nodule	Two	SS	Sterile	AT	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S521-N702_Ab_LF	Inoculum	None	HOME	Live	INO	LF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
S521-N711_P136N	Nodule	Two	AB	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S521-N714_P137R	Root	Two	AB	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S521-N715_P150R	Root	Two	AT	Live	AB	SAV	HA	0	19.5	5.2	4.2	23.5	21.9	2.7	0	8	9.5	41.5	0.044	7.9	1.263
S521-N716_P184N	Nodule	Two	AB	Live	AB	HF	HA	0.8	18.5	3.4	12.4	27.5	3.4	14.4	11.1	16.4	6.9	26.7	0.072	8	0.708
